,8PH,Public Health Services,Per cu.m,Pumping water out of pool,,,,,,,,,,,,,,,,,,,,,,,
,9PH,Public Health Services,Per sq.m,Overgrowth clearance,,,,,,,,,,,,,,,,,,,,,,,
,10PH,Public Health Services,Per fish,Sale of larvivorous fish (gambusia),,,,,,,,,,,,,,,,,,,,,,,
,11PH,Public Health Services,Per sq.m,Larviciding,,,,,,,,,,,,,,,,,,,,,,,
,12PH,Public Health Services,Per sq.m,Domestic premises,,,,,,,,,,,,,,,,,,,,,,,
,13PH,Public Health Services,Per sq.m,Hotels & restaurants,,,,,,,,,,,,,,,,,,,,,,,
,14PH,Public Health Services,Per sq.m,All others,,,,,,,,,,,,,,,,,,,,,,,
,15PH,Public Health Services,Per cat,Cat trapping (excluding transport),,,,,,,,,,,,,,,,,,,,,,,
,16PH,Public Health Services,Per sq.m,Fence infested with crawling ants,,,,,,,,,,,,,,,,,,,,,,,
,17PH,Public Health Services,Per visit,Private premises,,,,,,,,,,,,,,,,,,,,,,,
,18PH,Public Health Services,Per visit,Public institutions,,,,,,,,,,,,,,,,,,,,,,,
,19PH,Public Health Services,Per visit,Factories,,,,,,,,,,,,,,,,,,,,,,,
,20PH,Public Health Services,Per visit,Godowns,,,,,,,,,,,,,,,,,,,,,,,
,21PH,Public Health Services,Per m 2,Domestic premises (excluding transport),,,,,,,,,,,,,,,,,,,,,,,
,22PH,Public Health Services,Per m 2,"Institutions, schools(excluding transport)",,,,,,,,,,,,,,,,,,,,,,,
,23PH,Public Health Services,Per m 2,"Factories, Godowns",,,,,,,,,,,,,,,,,,,,,,,
,24PH,Public Health Services,Per Ton,Grains ,,,,,,,,,,,,,,,,,,,,,,,
,25PH,Public Health Services,Per visit,Transport for any service above,,,,,,,,,,,,,,,,,,,,,,,
,26PH,Public Health Services,Per dose,Yellow Fever,,,,,,,,,,,,,,,,,,,,,,,
,27PH,Public Health Services,Per dose,Tetanus Toxoid,,,,,,,,,,,,,,,,,,,,,,,
,28PH,Public Health Services,Per dose,Diphtheria & Tetanus,,,,,,,,,,,,,,,,,,,,,,,
,29PH,Public Health Services,Per dose,Typhoid for food handlers (New only ),,,,,,,,,,,,,,,,,,,,,,,
,30PH,Public Health Services,Per dose,Typhoid for food handlers (Renewal only),,,,,,,,,,,,,,,,,,,,,,,
,31PH,Public Health Services,Per dose,Meningitis,,,,,,,,,,,,,,,,,,,,,,,
,32PH,Public Health Services,Per dose,MMR,,,,,,,,,,,,,,,,,,,,,,,
,33PH,Public Health Services,Per dose,Rabies,,,,,,,,,,,,,,,,,,,,,,,
,34PH,Public Health Services,Per dose,Oral polio,,,,,,,,,,,,,,,,,,,,,,,
,35PH,Public Health Services,Per dose,Influenza,,,,,,,,,,,,,,,,,,,,,,,
,36PH,Public Health Services,Per dose,Cholera,,,,,,,,,,,,,,,,,,,,,,,
,37PH,Public Health Services,Per dose,Hepatitis B,,,,,,,,,,,,,,,,,,,,,,,
,38PH,Public Health Services,Per test,Bacteriological test - water,,,,,,,,,,,,,,,,,,,,,,,
,39PH,Public Health Services,Per test,Chemical test - water,,,,,,,,,,,,,,,,,,,,,,,
,40PH,Public Health Services,Per test,Harvest F.P. / Lactometer test (Water in milk),,,,,,,,,,,,,,,,,,,,,,,
,41PH,Public Health Services,Per test,Gerber S. N. F. Test ,,,,,,,,,,,,,,,,,,,,,,,
,42PH,Public Health Services,Per test,Resazurin test ,,,,,,,,,,,,,,,,,,,,,,,
,43PH,Public Health Services,Per test,Phosp tees test,,,,,,,,,,,,,,,,,,,,,,,
,44PH,Public Health Services,Per plan,"Residential buildings, Single",,,,,,,,,,,,,,,,,,,,,,,
,45PH,Public Health Services,Per plan,"Residential buildings, Storey",,,,,,,,,,,,,,,,,,,,,,,
,46PH,Public Health Services,Per plan,Commercial/Business (Single) floor.,,,,,,,,,,,,,,,,,,,,,,,
,47PH,Public Health Services,Per plan,Commercial/Business Multi Storey-Each additional floor,,,,,,,,,,,,,,,,,,,,,,,
,48PH,Public Health Services,Per plan,Godown,,,,,,,,,,,,,,,,,,,,,,,
,49PH,Public Health Services,Per plan,Institutional Building plans ,,,,,,,,,,,,,,,,,,,,,,,
,50PH,Public Health Services,Per cert,Health Occupation Certificate – Permanent residential premises,,,,,,,,,,,,,,,,,,,,,,,
,51PH,Public Health Services,Per cert,Health Occupation Certificate – Commercial (Small-sized premises),,,,,,,,,,,,,,,,,,,,,,,
,52PH,Public Health Services,Per cert,Health Occupation Certificate – Commercial (Medium-sized premises),,,,,,,,,,,,,,,,,,,,,,,
,53PH,Public Health Services,Per Cert,Health Occupation Certificate – Commercial (Large -sized premises),,,,,,,,,,,,,,,,,,,,,,,
,54PH,Public Health Services,Per Visit,Sites for Toilets/ septic tanks on constructions sites,,,,,,,,,,,,,,,,,,,,,,,
,55PH,Public Health Services,Per Visit,Liquor Sales Premises,,,,,,,,,,,,,,,,,,,,,,,
,56PH,Public Health Services,Per test,Biological test,,,,,,,,,,,,,,,,,,,,,,,
,57PH,Public Health Services,Per test,Chemical analysis,,,,,,,,,,,,,,,,,,,,,,,
,58PH,Public Health Services,Per cert,Export health certificate,,,,,,,,,,,,,,,,,,,,,,,
,59PH,Public Health Services,Per cert,Charge by medical officer of health,,,,,,,,,,,,,,,,,,,,,,,
,60PH,Public Health Services,Per instance,Inspection of private clinic,,,,,,,,,,,,,,,,,,,,,,,
,61PH,Public Health Services,Per cert,Food handlers health certificate (new),,,,,,,,,,,,,,,,,,,,,,,
,62PH,Public Health Services,Per cer,Food handlers health certificate (renewal),,,,,,,,,,,,,,,,,,,,,,,
,63PH,Public Health Services,Per cert,Hotel,,,,,,,,,,,,,,,,,,,,,,,
,64PH,Public Health Services,Per cert,Lodges,,,,,,,,,,,,,,,,,,,,,,,
,65PH,Public Health Services,Per cert,Bar & Restaurant,,,,,,,,,,,,,,,,,,,,,,,
,66PH,Public Health Services,Per cert,Bar ,,,,,,,,,,,,,,,,,,,,,,,
,67PH,Public Health Services,Per cert,Manufacturer/Factories,,,,,,,,,,,,,,,,,,,,,,,
,68PH,Public Health Services,Per cert,Wholesale Liquor /wines & spirits,,,,,,,,,,,,,,,,,,,,,,,
,69PH,Public Health Services,Per cert,Retail for  wines & spirits,,,,,,,,,,,,,,,,,,,,,,,
,70PH,Public Health Services,Per cert,Supermarket,,,,,,,,,,,,,,,,,,,,,,,
,71PH,Public Health Services,Per cert,Mini Supermarket,,,,,,,,,,,,,,,,,,,,,,,
,72PH,Public Health Services,Per cert,Wholesale Shop,,,,,,,,,,,,,,,,,,,,,,,
,73PH,Public Health Services,Per cert,Beer depot/distributor,,,,,,,,,,,,,,,,,,,,,,,
,74PH,Public Health Services,Per cert,Soda depot/distributor,,,,,,,,,,,,,,,,,,,,,,,
,75PH,Public Health Services,Per Cer,Dairy,,,,,,,,,,,,,,,,,,,,,,,
,76PH,Public Health Services,Per cert,Egg depot,,,,,,,,,,,,,,,,,,,,,,,
,77PH,Public Health Services,Per cert,Food depot,,,,,,,,,,,,,,,,,,,,,,,
,78PH,Public Health Services,Per cert,Posho mills,,,,,,,,,,,,,,,,,,,,,,,
,79PH,Public Health Services,Per cert,Cereal Shops,,,,,,,,,,,,,,,,,,,,,,,
,80PH,Public Health Services,Per cert,Stalls,,,,,,,,,,,,,,,,,,,,,,,
,81PH,Public Health Services,Per cert,Retail shop,,,,,,,,,,,,,,,,,,,,,,,
,82PH,Public Health Services,Per cer,Green grocer,,,,,,,,,,,,,,,,,,,,,,,
,83PH,Public Health Services,Per cert,Bakery,,,,,,,,,,,,,,,,,,,,,,,
,84PH,Public Health Services,Per cert,Confectionaries,,,,,,,,,,,,,,,,,,,,,,,
,85PH,Public Health Services,Per cert,Milk Bar,,,,,,,,,,,,,,,,,,,,,,,
,86PH,Public Health Services,Per cert,Slaughter house / Slaughter slab,,,,,,,,,,,,,,,,,,,,,,,
,87PH,Public Health Services,Per cert,Butchery,,,,,,,,,,,,,,,,,,,,,,,
,88PH,Public Health Services,Per cert,Packaging,,,,,,,,,,,,,,,,,,,,,,,
,89PH,Public Health Services,Per cert,Eating House / Fish & Chips,,,,,,,,,,,,,,,,,,,,,,,
,90PH,Public Health Services,Per cert,Food cafes,,,,,,,,,,,,,,,,,,,,,,,
,91PH,Public Health Services,Per cert,Proprietary liquor,,,,,,,,,,,,,,,,,,,,,,,
,92PH,Public Health Services,Per cert,Liquor Manufacturer/Factory,,,,,,,,,,,,,,,,,,,,,,,
,93PH,Public Health Services,Per Cert,Music Shops,,,,,,,,,,,,,,,,,,,,,,,
,94PH,Public Health Services,Per Cert,Petrol Station,,,,,,,,,,,,,,,,,,,,,,,
,95PH,Public Health Services,Per Cert,Hair Saloon/Barbers,,,,,,,,,,,,,,,,,,,,,,,
,96PH,Public Health Services,Per Cert,Electronics,,,,,,,,,,,,,,,,,,,,,,,
,97PH,Public Health Services,Per Cert,Hardwares,,,,,,,,,,,,,,,,,,,,,,,
,98PH,Public Health Services,Per Cert,Carpentry /Workshop,,,,,,,,,,,,,,,,,,,,,,,
,99PH,Public Health Services,Per Cert,Timber Yard,,,,,,,,,,,,,,,,,,,,,,,
,100PH,Public Health Services,Per Cert,Video Libraries & Halls,,,,,,,,,,,,,,,,,,,,,,,
,101PH,Public Health Services,Per Cert,Tailoring with material,,,,,,,,,,,,,,,,,,,,,,,
,102PH,Public Health Services,Per Cert,Boutiques,,,,,,,,,,,,,,,,,,,,,,,
,103PH,Public Health Services,Per Cert,Beauty shops,,,,,,,,,,,,,,,,,,,,,,,
,104PH,Public Health Services,Per Cert,Bookshops,,,,,,,,,,,,,,,,,,,,,,,
,105PH,Public Health Services,Per Cert,Utensils,,,,,,,,,,,,,,,,,,,,,,,
,106PH,Public Health Services,Per Cert,Autospares Shops,,,,,,,,,,,,,,,,,,,,,,,
,107PH,Public Health Services,Per Cert,Banking Institutions,,,,,,,,,,,,,,,,,,,,,,,
,108PH,Public Health Services,Per Cert,Agro Vets,,,,,,,,,,,,,,,,,,,,,,,
,109PH,Public Health Services,Per Cert,Car Wash,,,,,,,,,,,,,,,,,,,,,,,
,110PH,Public Health Services,Per Cert,Computer Services,,,,,,,,,,,,,,,,,,,,,,,
,111PH,Public Health Services,Per Cert,Tyre Shops,,,,,,,,,,,,,,,,,,,,,,,
,112PH,Public Health Services,Per Cert,Glass Mart,,,,,,,,,,,,,,,,,,,,,,,
,113PH,Public Health Services,Per Cert,Studio,,,,,,,,,,,,,,,,,,,,,,,
,114PH,Public Health Services,Per Cert,Wholesale Non-Food,,,,,,,,,,,,,,,,,,,,,,,
,115PH,Public Health Services,Per Cert,Car Bazaars,,,,,,,,,,,,,,,,,,,,,,,
,116PH,Public Health Services,Per Cert,Non Food Factory,,,,,,,,,,,,,,,,,,,,,,,
,117PH,Public Health Services,Per Cert,Stationery,,,,,,,,,,,,,,,,,,,,,,,
,118PH,Public Health Services,Per Cert,NEMA (EIA report review),,,,,,,,,,,,,,,,,,,,,,,
,119PH,Public Health Services,Per Cert,MONEY TRANSFER Agents,,,,,,,,,,,,,,,,,,,,,,,
,120PH,Public Health Services,Per Cert,MONEY TRANSFER sub agents,,,,,,,,,,,,,,,,,,,,,,,
,121PH,Public Health Services,Per Cert,Professional Offices,,,,,,,,,,,,,,,,,,,,,,,
,122PH,Public Health Services,Per Cert,Bicycle Shops/Cycle  Marts,,,,,,,,,,,,,,,,,,,,,,,
,123PH,Public Health Services,Per Cert,Shoe shops,,,,,,,,,,,,,,,,,,,,,,,
,124PH,Public Health Services,Per Cert,Camping and Recreation Sites,,,,,,,,,,,,,,,,,,,,,,,
,125PH,Public Health Services,Per Cert,Garage ,,,,,,,,,,,,,,,,,,,,,,,
,126PH,Public Health Services,Per Cert,Bicycle Repairs ,,,,,,,,,,,,,,,,,,,,,,,
,127PH,Public Health Services,Per Cert,Shoe Repair ,,,,,,,,,,,,,,,,,,,,,,,
,128PH,Public Health Services,Per Cert,Tailoring with no materials ,,,,,,,,,,,,,,,,,,,,,,,
,129PH,Public Health Services,Per Cert,Driving School,,,,,,,,,,,,,,,,,,,,,,,
,130PH,Public Health Services,Per Cert,Chemist,,,,,,,,,,,,,,,,,,,,,,,
,131PH,Public Health Services,Per Cert,General Merchant,,,,,,,,,,,,,,,,,,,,,,,
,132PH,Public Health Services,Per Cert,Mobile Accessories,,,,,,,,,,,,,,,,,,,,,,,
,133PH,Public Health Services,Per Cert,Consolidated Charge for Mobile Accessories and MONEY TRANSFER agents.,,,,,,,,,,,,,,,,,,,,,,,
,134PH,Public Health Services,Per Cert,Pool Table,,,,,,,,,,,,,,,,,,,,,,,
,135PH,Public Health Services,Per licence,Hotel,,,,,,,,,,,,,,,,,,,,,,,
,136PH,Public Health Services,Per licence,Lodges,,,,,,,,,,,,,,,,,,,,,,,
,137PH,Public Health Services,Per licence,Bar & Restaurant,,,,,,,,,,,,,,,,,,,,,,,
,138PH,Public Health Services,Per licence,Bar,,,,,,,,,,,,,,,,,,,,,,,
,139PH,Public Health Services,Per licence,Manufacturer/Factories,,,,,,,,,,,,,,,,,,,,,,,
,140PH,Public Health Services,Per licence,Wholesale Liquor / wines & spirits,,,,,,,,,,,,,,,,,,,,,,,
,141PH,Public Health Services,Per licence,Supermarket,,,,,,,,,,,,,,,,,,,,,,,
,142PH,Public Health Services,Per licence,Mini Supermarket,,,,,,,,,,,,,,,,,,,,,,,
,143PH,Public Health Services,Per licence,Wholesale Shop,,,,,,,,,,,,,,,,,,,,,,,
,144PH,Public Health Services,Per licence,Beer depot/distributor,,,,,,,,,,,,,,,,,,,,,,,
,145PH,Public Health Services,Per licence,Soda depot/distributor,,,,,,,,,,,,,,,,,,,,,,,
,146PH,Public Health Services,Per licence,Dairy,,,,,,,,,,,,,,,,,,,,,,,
,147PH,Public Health Services,Per licence,Egg depot,,,,,,,,,,,,,,,,,,,,,,,
,148PH,Public Health Services,Per licence,Food depot,,,,,,,,,,,,,,,,,,,,,,,
,149PH,Public Health Services,Per licence,Posho mills,,,,,,,,,,,,,,,,,,,,,,,
,150PH,Public Health Services,Per licence,Cereal Shops,,,,,,,,,,,,,,,,,,,,,,,
,151PH,Public Health Services,Per licence,Stalls,,,,,,,,,,,,,,,,,,,,,,,
,152PH,Public Health Services,Per licence,Retail shop,,,,,,,,,,,,,,,,,,,,,,,
,153PH,Public Health Services,Per licence,Green grocers,,,,,,,,,,,,,,,,,,,,,,,
,154PH,Public Health Services,Per licence,Bakery,,,,,,,,,,,,,,,,,,,,,,,
,155PH,Public Health Services,Per licence,Confectionaries,,,,,,,,,,,,,,,,,,,,,,,
,156PH,Public Health Services,Per licence,Milk Bar,,,,,,,,,,,,,,,,,,,,,,,
,157PH,Public Health Services,Per licence,Slaughter house / Slaughter slab,,,,,,,,,,,,,,,,,,,,,,,
,158PH,Public Health Services,Per licence,Butchery,,,,,,,,,,,,,,,,,,,,,,,
,159PH,Public Health Services,Per licence,Packaging,,,,,,,,,,,,,,,,,,,,,,,
,160PH,Public Health Services,Per licence,Eating House / Fish & Chips,,,,,,,,,,,,,,,,,,,,,,,
,161PH,Public Health Services,Per licence,Food cafes,,,,,,,,,,,,,,,,,,,,,,,
,162PH,Public Health Services,Per licence,Soup kitchen,,,,,,,,,,,,,,,,,,,,,,,
,163PH,Public Health Services,Per licence,Liquor Factory,,,,,,,,,,,,,,,,,,,,,,,
,164PH,Public Health Services,Per licence,Proprietary liquor,,,,,,,,,,,,,,,,,,,,,,,
,165PH,Public Health Services,Per licence,Rice millers,,,,,,,,,,,,,,,,,,,,,,,
,166PH,Public Health Services,Per licence,Rice hullers,,,,,,,,,,,,,,,,,,,,,,,
,167PH,Public Health Services,Per licence,Others,,,,,,,,,,,,,,,,,,,,,,,
,168PH,Public Health Services,Per licence,Music Shops,,,,,,,,,,,,,,,,,,,,,,,
,169PH,Public Health Services,Per licence,Petrol Station,,,,,,,,,,,,,,,,,,,,,,,
,170PH,Public Health Services,Per licence,Hair Saloon/Barbers,,,,,,,,,,,,,,,,,,,,,,,
,171PH,Public Health Services,Per licence,Electronics,,,,,,,,,,,,,,,,,,,,,,,
,172PH,Public Health Services,Per licence,Hardwares,,,,,,,,,,,,,,,,,,,,,,,
,173PH,Public Health Services,Per licence,Carpentry /Workshop,,,,,,,,,,,,,,,,,,,,,,,
,174PH,Public Health Services,Per licence,Timber Yard,,,,,,,,,,,,,,,,,,,,,,,
,175PH,Public Health Services,Per licence,Video Libraries & Halls,,,,,,,,,,,,,,,,,,,,,,,
,176PH,Public Health Services,Per licence,Tailoring with material,,,,,,,,,,,,,,,,,,,,,,,
,177PH,Public Health Services,Per licence,Boutiques,,,,,,,,,,,,,,,,,,,,,,,
,178PH,Public Health Services,Per licence,Beauty shops,,,,,,,,,,,,,,,,,,,,,,,
,179PH,Public Health Services,Per licence,Bookshops,,,,,,,,,,,,,,,,,,,,,,,
,180PH,Public Health Services,Per licence,Utensils,,,,,,,,,,,,,,,,,,,,,,,
,181PH,Public Health Services,Per licence,Auto Shops,,,,,,,,,,,,,,,,,,,,,,,
,182PH,Public Health Services,Per licence,Banking Institutions,,,,,,,,,,,,,,,,,,,,,,,
,183PH,Public Health Services,Per licence,Agro Vets,,,,,,,,,,,,,,,,,,,,,,,
,184PH,Public Health Services,Per licence,Car Wash,,,,,,,,,,,,,,,,,,,,,,,
,185PH,Public Health Services,Per licence,Computer Services,,,,,,,,,,,,,,,,,,,,,,,
,186PH,Public Health Services,Per licence,Tyre Shops,,,,,,,,,,,,,,,,,,,,,,,
,187PH,Public Health Services,Per licence,Glass Mart,,,,,,,,,,,,,,,,,,,,,,,
,188PH,Public Health Services,Per licence,Studio,,,,,,,,,,,,,,,,,,,,,,,
,189PH,Public Health Services,Per licence,Wholesale Non-Food,,,,,,,,,,,,,,,,,,,,,,,
,190PH,Public Health Services,Per licence,Car Bazaars,,,,,,,,,,,,,,,,,,,,,,,
,191PH,Public Health Services,Per licence,Non Food Factory,,,,,,,,,,,,,,,,,,,,,,,
,192PH,Public Health Services,Per licence,Stationery,,,,,,,,,,,,,,,,,,,,,,,
,193PH,Public Health Services,Per licence,NEMA (EIA review),,,,,,,,,,,,,,,,,,,,,,,
,194PH,Public Health Services,Per licence,Money transfer Agents,,,,,,,,,,,,,,,,,,,,,,,
,195PH,Public Health Services,Per licence,Money transfer sub Agents,,,,,,,,,,,,,,,,,,,,,,,
,196PH,Public Health Services,Per licence,Professional Offices,,,,,,,,,,,,,,,,,,,,,,,
,197PH,Public Health Services,Per licence,Bicycle Shops/Cycle  Marts,,,,,,,,,,,,,,,,,,,,,,,
,198PH,Public Health Services,Per licence,Bookshops ,,,,,,,,,,,,,,,,,,,,,,,
,199PH,Public Health Services,Per licence,Shoe shops,,,,,,,,,,,,,,,,,,,,,,,
,200PH,Public Health Services,Per licence,Camping and Recreation Sites,,,,,,,,,,,,,,,,,,,,,,,
,201PH,Public Health Services,Per Licence,Camping Sites,,,,,,,,,,,,,,,,,,,,,,,
,202PH,Public Health Services,Per licence,Garage ,,,,,,,,,,,,,,,,,,,,,,,
,203PH,Public Health Services,Per licence,Bicycle Repairs ,,,,,,,,,,,,,,,,,,,,,,,
,204PH,Public Health Services,Per licence,Shoe Repair ,,,,,,,,,,,,,,,,,,,,,,,
,205PH,Public Health Services,Per licence,Tailoring with no materials ,,,,,,,,,,,,,,,,,,,,,,,
,206PH,Public Health Services,Per licence,Driving School,,,,,,,,,,,,,,,,,,,,,,,
,207PH,Public Health Services,Per licence,Others ,,,,,,,,,,,,,,,,,,,,,,,
,208PH,Public Health Services,Per licence,Wholesale/Retail Chemist,,,,,,,,,,,,,,,,,,,,,,,
,209PH,Public Health Services,Per licence,Retail Chemist,,,,,,,,,,,,,,,,,,,,,,,
,210PH,Public Health Services,Per licence,General Merchant,,,,,,,,,,,,,,,,,,,,,,,
,211PH,Public Health Services,Per licence,Private Student on practical training,,,,,,,,,,,,,,,,,,,,,,,
,212PH,Public Health Services,Per licence,Mobile Accessories,,,,,,,,,,,,,,,,,,,,,,,
,213PH,Public Health Services,Per licence,Pool Table,,,,,,,,,,,,,,,,,,,,,,,
,214PH,Public Health Services,Per Licence,Others,,,,,,,,,,,,,,,,,,,,,,,
